local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
746,1,movie_tmdb_412092,,https://image.tmdb.org/t/p/w500/mLlke4cd9R65FYqtMVUZ3h3Z2z9.jpg,https://www.themoviedb.org/movie/412092,TMDB,t,2026-02-23 07:02:29.989202,2026-02-23 07:02:29.989202
747,1,movie_tmdb_51608,,https://image.tmdb.org/t/p/w500/xmD04pnMIO0FUe0FJc8rHjfi6vY.jpg,https://www.themoviedb.org/movie/51608,TMDB,t,2026-02-23 07:02:29.991752,2026-02-23 07:02:29.991752
749,1,movie_tmdb_614696,,https://image.tmdb.org/t/p/w500/zb06eXz3Pg5JzytPnMFb3cIDV7B.jpg,https://www.themoviedb.org/movie/614696,TMDB,t,2026-02-23 07:02:29.997341,2026-02-23 07:02:29.997341
750,1,movie_tmdb_405817,,https://image.tmdb.org/t/p/w500/rtl0y6akc7dLAR190e0XeyPY8zg.jpg,https://www.themoviedb.org/movie/405817,TMDB,t,2026-02-23 07:02:30.000473,2026-02-23 07:02:30.000473
751,1,movie_tmdb_122126,,https://image.tmdb.org/t/p/w500/tkkUBkGMnoaxwzClDMFZ0HKlXG8.jpg,https://www.themoviedb.org/movie/122126,TMDB,t,2026-02-23 07:02:30.003627,2026-02-23 07:02:30.003627
752,1,movie_tmdb_165213,,https://image.tmdb.org/t/p/w500/yiDQaLGF6hXVdiKodfdurUcgxWV.jpg,https://www.themoviedb.org/movie/165213,TMDB,t,2026-02-23 07:02:30.006175,2026-02-23 07:02:30.006175
753,1,movie_tmdb_1147710,,https://image.tmdb.org/t/p/w500/pLEenJ0I1XqySVezRdETf2n2w7H.jpg,https://www.themoviedb.org/movie/1147710,TMDB,t,2026-02-23 07:02:30.008908,2026-02-23 07:02:30.008908
754,1,movie_tmdb_724109,,https://image.tmdb.org/t/p/w500/ZAhAOX5RsstfrbLtkSjiUZGgw2.jpg,https://www.themoviedb.org/movie/724109,TMDB,t,2026-02-23 07:02:30.011514,2026-02-23 07:02:30.011514
755,1,movie_tmdb_50727,,https://image.tmdb.org/t/p/w500/QsXaA6s0TTM8TP28Jx4QXgaY1I.jpg,https://www.themoviedb.org/movie/50727,TMDB,t,2026-02-23 07:02:30.0155,2026-02-23 07:02:30.0155
756,1,movie_tmdb_601796,,https://image.tmdb.org/t/p/w500/ynyN9hdxL5vq7GnSX8Fdz3TfoTE.jpg,https://www.themoviedb.org/movie/601796,TMDB,t,2026-02-23 07:02:30.018075,2026-02-23 07:02:30.018075
757,1,movie_tmdb_619803,,https://image.tmdb.org/t/p/w500/9XkAF2pl2uliiuAORaWTgPmr6zG.jpg,https://www.themoviedb.org/movie/619803,TMDB,t,2026-02-23 07:02:30.021809,2026-02-23 07:02:30.021809
758,1,movie_tmdb_372921,,https://image.tmdb.org/t/p/w500/k8dsPTp1Ga67c0Ie00qyR3vcPG3.jpg,https://www.themoviedb.org/movie/372921,TMDB,t,2026-02-23 07:02:30.024713,2026-02-23 07:02:30.024713
